username,tweet,location,device,user_location
dont4getthesun,"Abandoned house with piano , , . 📷",,Twitter for iPhone,"Bristol, UK"
Ravidranting,Why would go round fingerprinting and biometric data from random people in ? What you think that ’ s a thing ?…..,,Twitter for iPad,Brazil
Paintbox65,: 🇫🇷 one step away from civil war . Macron ' s police beat and the elderly . by & ; news ... Why ?,,Twitter for Android,England
CryptoTorn,: Thanks for rank beta feature .👏😁 🥳🔥 it ’ s just the beginning . be patient 🧘 …,,Twitter Web App,
Bunghot1,| 2023 1 Live Full Game ' Watch Live Here :,,Twitter Web App,Ireland
Patjeto,: Victorine was a young and vibrant girl . She was and by a man in 2020 while …,,Twitter for Android,
VNokurai,": The US ' t I see a lot of people bemoaning "" we don ' t protest like the 😔"" Are you organized ?",,Twitter for Android,
implicated45,: of anti - war took to the streets of to protest against the supply of arms to and …,,Twitter for iPhone,
andytoronto,": The Statue of Liberty in Colmar , been decorated with the flag .",,Twitter for iPhone,"San Francisco, California"
leftfielder,": 🇫🇷🇵🇱🇺🇦🇷🇺 Polish Ambassador to : "" Either will defend its independence today , or we w …",,Twitter Web App,
Bunghot1,| 2023 1 Live Full Game ' Watch Live Here :,,Twitter Web App,Ireland
maureensmith232,": ? No , . Macron ' s police beat a defenseless and peaceful woman .",,Twitter for Android,From Alta-live all over Canada
MLehna,": Dear ❤️ Sorry for the mess , we are fighting for our and to not die at work . If you have any …",,Twitter for iPhone,"Drancy, France"
bhanubaisol,": Nice ,",,TweetDeck,BhanuBaisol nki😚
snazzycicadas,: I hope are starting to see clearly why local police was unequivocally a step towards fascism . If f …,,Twitter for iPhone,"Raleigh, NC"
sjj139,": If you support spending £ 140M in , £ 500M in & ; £ 5 . 5M a day on rather than just giving folk safe to …",,Twitter for iPhone,"North East, England"
gaalafaruur63,: average age of young people leaving the parental household : 🇵🇹 : 33 . 6 🇭🇷 : 33 . 3 🇸🇰 : 30 . 9 🇮🇹…,,Twitter for Android,Somalia. muqdisho. banaadir
PiXenia1,": Why is Western media the anti - happening today in , ? « de l ' ! » …",,Twitter for Android,
Bunghot1,| 2023 1 Live Full Game ' Watch Live Here :,,Twitter Web App,Ireland
meg_lfg,: I hope are starting to see clearly why local police was unequivocally a step towards fascism . If f …,,Twitter for iPhone,Forced birth state 
saomeralbau,: when people for revolutionary protest and not i already know which lens they choose to view …,,Twitter for Android,she/her
hussainishtiak1,their name ring out around the stadium as of celebrated winning the International League . FM23Mobile,,Football Manager Mobile,
claraclezga,": Dear ❤️ Sorry for the mess , we are fighting for our and to not die at work . If you have any …",,Twitter for iPhone,39°32’27.6”N8°37’40.0”E
Sophronisba,"42 . in the Middle 987 - 1460 : From to of Arc , by . My desire to learn about the history of to be , as this book -- with so much potential for a fascinating narrative -- proved to be dry and obscure .",,Twitter Web App,"Ann Arbor, MI"
missvidaow,: I expect and to produce a about an moving to for work & ; who the culture …,,Twitter for Android,
jfreis4,: average age of young people leaving the parental household : 🇵🇹 : 33 . 6 🇭🇷 : 33 . 3 🇸🇰 : 30 . 9 🇮🇹…,,Twitter for Android,"Lisboa, Portugal"
DawsinKay,: This is what 1776 and 1789 need :,,Twitter for iPad,
redhot4ili,": Russia ? No , Macron ' s .",,Twitter for Android,Москва
LongSoggy,: ********************** VIVE LA ! ********************** Macron public in . So eve …,,Twitter for iPhone,
syn0ss,petit steal ?,,Twitter for Android,"Montpellier, France"
Bunghot1,. | 2023 1 Live Full Game ' Watch Live Here :,,Twitter Web App,Ireland
decolonialpsych,: The Unconscious in Translation . The award - winning house in collaboration with the psychoanalyst …,,Twitter for iPhone,Oghá P’o'oge
mari__zen,: JUST IN : ’ s Macron public in . his ’ t get the memo ..…,,Twitter Web App,Earth
RossTheBoss118,": Why is Western media the anti - happening today in , ? « de l ' ! » …",,Twitter for iPhone,
LedwidgeThomas,Do you want one of them to play up front with him against ?,,Twitter for Android,"Dublin, Ireland"
JanetLy32481074,: 1st - Canada ' s in protest to remove the Liberal Party of Canada for Unconstitutional …,,Twitter for Android,"New Brunswick, Canada"
Justinejustemoi,": Sunset at the River Seine in , 🇫🇷",,Twitter for Android,France
Bunghot1,. | 2023 1 Live Full Game ' Watch Live Here :,,Twitter Web App,Ireland
Ritika23227175,": To accomplish great , we must dream as well as act .” – Justice4 Singh",,Twitter Web App,India
Adrian05244951,": 🇫🇷🇵🇱🇺🇦🇷🇺 Polish Ambassador to : "" Either will defend its independence today , or we w …",,Twitter Web App,
menno_janssen,": Why is Western media the anti - happening today in , ? « de l ' ! » …",,Twitter for Android,
